"Genome ID","Genome Name","Contig","Match ID","Group","Inc Match","Percent Identity","Match Coverage","Contig Start","Contig End","Reference Start","Reference End"
"6217aad3ccb8a8d82568bbf5","326A_13","NODE_51_length_32196_cov_5.552972","IncHI1A_1__AF250878","all","IncHI1A_1",99.762,100,1516,1935,420,1
"6217aad3ccb8a8d82568bbf5","326A_13","NODE_51_length_32196_cov_5.552972","IncHI1B(R27)_1_R27_AF250878","all","IncHI1B(R27)_1",100,100,15012,15551,1,540
"6217aad3ccb8a865e168bbf6","B014_11","NODE_542_length_859_cov_1.497449","IncHI1B(R27)_1_R27_AF250878","all","IncHI1B(R27)_1",100,100,125,664,1,540
"6217aad3ccb8a85f3c68bbf9","BS026_10","NODE_49_length_23887_cov_6.873719","IncHI1A_1__AF250878","all","IncHI1A_1",99.762,100,7779,8198,1,420
"6217aad3ccb8a85f3c68bbf9","BS026_10","NODE_50_length_22553_cov_6.687161","IncHI1B(R27)_1_R27_AF250878","all","IncHI1B(R27)_1",100,100,16710,17249,540,1
"6217aad3ccb8a8445a68bbff","BS056_10","NODE_14_length_143030_cov_15.652275","IncHI1B(R27)_1_R27_AF250878","all","IncHI1B(R27)_1",100,100,69496,70035,540,1
"6217aad3ccb8a8445a68bbff","BS056_10","NODE_14_length_143030_cov_15.652275","IncHI1A_1__AF250878","all","IncHI1A_1",100,100,83112,83531,1,420
"6217aad3ccb8a8445a68bbff","BS056_10","NODE_63_length_1771_cov_13.778892","IncFIA(HI1)_1__AF250878","all","IncFIA(HI1)_1",100,100,860,1247,388,1
"6217aad3ccb8a87c9168bc0b","253A_13","NODE_29_length_52242_cov_9.768417","IncHI1B(R27)_1_R27_AF250878","all","IncHI1B(R27)_1",100,100,22518,23057,540,1
"6217aad3ccb8a87c9168bc0b","253A_13","NODE_29_length_52242_cov_9.768417","IncHI1A_1__AF250878","all","IncHI1A_1",99.762,100,36134,36553,1,420
"6217aad3ccb8a827e868bc0e","BS042_10","NODE_13_length_142333_cov_21.762966","IncHI1B(R27)_1_R27_AF250878","all","IncHI1B(R27)_1",100,100,69213,69752,540,1
"6217aad3ccb8a827e868bc0e","BS042_10","NODE_13_length_142333_cov_21.762966","IncHI1A_1__AF250878","all","IncHI1A_1",100,100,82829,83248,1,420
"6217aad3ccb8a827e868bc0e","BS042_10","NODE_62_length_1771_cov_19.484080","IncFIA(HI1)_1__AF250878","all","IncFIA(HI1)_1",100,100,860,1247,388,1
"6217aad3ccb8a810c268bbe6","BS055_10","NODE_18_length_34643_cov_4.779189","IncHI1A_1__AF250878","all","IncHI1A_1",100,100,5437,5856,1,420
"6217aad3ccb8a810c268bbe6","BS055_10","NODE_46_length_23675_cov_4.464831","IncHI1B(R27)_1_R27_AF250878","all","IncHI1B(R27)_1",100,100,6964,7503,1,540
"6217aad3ccb8a810c268bbe6","BS055_10","NODE_413_length_1701_cov_3.892989","IncFIA(HI1)_1__AF250878","all","IncFIA(HI1)_1",100,100,790,1177,388,1
